Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:66090000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;datains;dataalt;respalt;tecnico;medidorvazao
66090000;1;15/06/2000;01/01/1900 07:00:00;15;376;470;770,8;309,00;0,609;2,49;;;;;;
66090000;1;24/08/2000;01/01/1900 07:00:00;16;328;369;639,6;307,07;0,578;2,08;;;;;;
66090000;1;23/11/2000;01/01/1900 11:00:00;377;377;489,282;812,08;310,69;0,603;2,61;;;;;;
66090000;1;24/02/1971;01/01/1900 07:00:00;1;387;433;776,7;284,00;0,557;2,73;;;;;;
66090000;1;13/05/1971;01/01/1900 07:00:00;2;392;440;783,9;284,00;0,562;2,76;;;;;;
66090000;1;17/11/1971;01/01/1900 07:00:00;3;308;282;593,2;283,10;0,476;2,10;;;;;;
66090000;1;30/04/1972;01/01/1900 07:00:00;4;440;575;857,7;287,00;0,670;2,99;;;;;;
66090000;1;23/08/1973;01/01/1900 07:00:00;5;275;225;156;285,00;0,490;1,62;;;;;;
66090000;1;01/03/1974;01/01/1900 07:00:00;6;487;774;991;286,00;0,780;3,47;;;;;;
66090000;1;30/05/1974;01/01/1900 07:00:00;7;464;709;922;285,00;0,770;3,24;;;;;;
66090000;1;29/08/1998;01/01/1900 07:00:00;8;334;375;685,8;313,98;0,546;2,18;;;;;;
66090000;1;21/10/1974;01/01/1900 07:00:00;9;301;270;522;284,00;0,520;1,84;;;;;;
66090000;1;30/05/1975;01/01/1900 07:00:00;11;450;636;960;281,00;0,660;3,41;;;;;;
66090000;1;30/10/1975;01/01/1900 07:00:00;12;317;300;602;287,00;0,500;2,10;;;;;;
66090000;1;24/07/1976;01/01/1900 07:00:00;14;375;389;722;289,00;0,538;2,50;;;;;;
66090000;1;04/10/1976;01/01/1900 07:00:00;15;346;365;690;288,00;0,529;2,40;;;;;;
66090000;1;21/03/1977;01/01/1900 07:00:00;16;481;781;1052;289,00;0,742;3,64;;;;;;
66090000;1;05/05/1977;01/01/1900 07:00:00;17;468;699;1077;293,00;0,649;3,67;;;;;;
66090000;1;19/06/1977;01/01/1900 07:00:00;18;420;561;963;287,00;0,582;3,35;;;;;;
66090000;1;25/08/1977;01/01/1900 07:00:00;19;328;373;698;285,00;0,534;2,44;;;;;;
66090000;1;15/12/1977;01/01/1900 07:00:00;20;414;545;915;286,00;0,595;3,19;;;;;;
66090000;1;19/02/1978;01/01/1900 07:00:00;21;474;771;1044;281,00;0,738;3,71;;;;;;
66090000;1;29/06/1978;01/01/1900 07:00:00;22;408;533;886;288,00;0,601;3,07;;;;;;
66090000;1;18/08/1978;01/01/1900 07:00:00;23;333;316;648;286,00;0,488;2,26;;;;;;
66090000;1;28/10/1978;01/01/1900 07:00:00;24;387;478;824;288,00;0,580;2,85;;;;;;
66090000;1;08/12/1978;01/01/1900 07:00:00;25;437;570;925;287,00;0,615;3,22;;;;;;
66090000;1;19/02/1999;01/01/1900 07:00:00;10;496;901;1184;326,60;0,761;3,64;;;;;;
66090000;1;21/05/1999;01/01/1900 07:00:00;13;463;774;1068;324,26;0,725;3,29;;;;;;
66090000;1;05/10/1996;01/01/1900 07:00:00;26;345;398;730,2;307,66;0,545;2,37;;;;;;
66090000;1;12/12/1996;01/01/1900 07:00:00;27;476;843;1082;316,75;0,779;3,42;;;;;;
66090000;1;24/05/1997;01/01/1900 07:00:00;28;485;901;1157;323,08;0,779;3,58;;;;;;
66090000;1;22/08/1997;01/01/1900 07:00:00;29;367;445;790,8;314,38;0,563;2,52;;;;;;
66090000;1;21/02/1998;01/01/1900 07:00:00;31;499;976;1193;327,84;0,818;3,64;;;;;;
66090000;1;19/11/1999;01/01/1900 07:00:00;32;389;508;853;315,96;0,596;2,70;;;;;;
66090000;1;25/02/2000;01/01/1900 07:00:00;33;492;935;1166;328,38;0,802;3,55;;;;;;
66090000;1;10/05/2001;01/01/1900 08:25:00;18;434;661,821;997,06;314,86;0,664;3,17;;;;;;
66090000;1;17/08/2001;01/01/1900 09:30:00;19;303;314,721;580,8;307,75;0,542;1,89;;;;;;
66090000;1;22/11/2001;01/01/1900 13:30:00;20;374;479,818;838,81;311,06;0,572;2,70;;;;;;
66090000;1;07/04/2002;01/01/1900 08:10:00;21;502;957,57;1168,55;325,48;0,819;3,59;;;;;;
66090000;1;19/07/2002;01/01/1900 14:00:00;22;350;413,352;708,78;310,59;0,583;2,28;;;;;;
66090000;1;25/10/2002;01/01/1900 08:05:00;23;324;364,713;651,45;308,85;0,560;2,11;;;;;;
66090000;1;31/01/2003;01/01/1900 08:30:00;24;490;934,722;1197,82;324,23;0,780;3,69;;;;;;
66090000;1;26/04/2003;01/01/1900 09:30:00;25;513;1072,389;1199,75;328,75;0,894;3,65;;;;;;
66090000;1;06/09/2003;01/01/1900 15:30:00;26;314;360,704;635,04;309,74;0,568;2,05;;;;;;
66090000;1;27/11/2003;01/01/1900 10:35:00;27;418;640,504;964,65;318,01;0,664;3,03;;;;;;
66090000;2;24/02/1971;01/01/1900 07:00:00;1;387;433;776,7;284,00;0,557;2,73;;;;;;
66090000;2;13/05/1971;01/01/1900 07:00:00;2;392;440;783,9;284,00;0,562;2,76;;;;;;
66090000;2;17/11/1971;01/01/1900 07:00:00;3;308;282;593,2;283,10;0,476;2,10;;;;;;
66090000;2;30/04/1972;01/01/1900 07:00:00;4;440;575;857,7;287,00;0,670;2,99;;;;;;
66090000;2;23/08/1973;01/01/1900 07:00:00;5;275;225;156;285,00;0,490;1,62;;;;;;
66090000;2;28/02/1974;01/01/1900 07:00:00;30;487;781;967;286,00;0,810;3,38;;;;;;
66090000;2;01/03/1974;01/01/1900 07:00:00;6;487;774;991;286,00;0,780;3,47;;;;;;
66090000;2;30/05/1974;01/01/1900 07:00:00;7;464;709;922;285,00;0,770;3,24;;;;;;
66090000;2;21/10/1974;01/01/1900 07:00:00;9;301;270;522;284,00;0,520;1,84;;;;;;
66090000;2;30/05/1975;01/01/1900 07:00:00;11;450;636;960;281,00;0,660;3,41;;;;;;
66090000;2;30/10/1975;01/01/1900 07:00:00;12;317;300;602;287,00;0,500;2,10;;;;;;
66090000;2;24/07/1976;01/01/1900 07:00:00;14;375;389;722;289,00;0,538;2,50;;;;;;
66090000;2;04/10/1976;01/01/1900 07:00:00;15;346;365;690;288,00;0,529;2,40;;;;;;
66090000;2;21/03/1977;01/01/1900 07:00:00;16;481;781;1052;289,00;0,742;3,64;;;;;;
66090000;2;05/05/1977;01/01/1900 07:00:00;17;468;699;1077;293,00;0,649;3,67;;;;;;
66090000;2;19/06/1977;01/01/1900 07:00:00;18;420;561;963;287,00;0,582;3,35;;;;;;
66090000;2;15/12/1977;01/01/1900 07:00:00;20;414;545;915;286,00;0,595;3,19;;;;;;
66090000;2;19/02/1978;01/01/1900 07:00:00;21;474;771;1044;281,00;0,738;3,71;;;;;;
66090000;2;29/06/1978;01/01/1900 07:00:00;22;408;533;886;288,00;0,601;3,07;;;;;;
66090000;2;18/08/1978;01/01/1900 07:00:00;23;333;316;648;286,00;0,488;2,26;;;;;;
66090000;2;28/10/1978;01/01/1900 07:00:00;24;387;478;824;288,00;0,580;2,85;;;;;;
66090000;2;08/12/1978;01/01/1900 07:00:00;25;437;570;925;287,00;0,615;3,22;;;;;;
66090000;2;05/10/1996;01/01/1900 07:00:00;26;345;398;730,2;307,66;0,545;2,37;;;;;;
