Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:66090000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
66090000;1;06/07/2007;01/01/1900 14:40:00;32;06/07/2007;01/01/1900 12:00:00;32;334;561,574;726,48;309,12;0,773;26,78;334;25,40;;46,00;;
66090000;1;31/10/2007;01/01/1900 14:30:00;33;31/10/2007;01/01/1900 11:15:00;33;354;468,535;788,08;309,28;0,595;56,11;354;30,80;;51,00;;
66090000;1;16/05/2008;01/01/1900 11:15:00;34;16/05/2008;01/01/1900 10:05:00;34;477;877;1140;332,00;0,770;20,66;477;25,20;25,91;57,00;;
66090000;1;01/09/2008;01/01/1900 13:07:00;35;01/09/2008;01/01/1900 09:55:00;35;298;419;565;307,04;0,743;29,53;298;23,50;44,65;48,00;;
66090000;1;04/12/2008;01/01/1900 13:20:00;36;04/12/2008;01/01/1900 10:38:00;36;340;330;631;308,03;0,524;38,58;340;29,40;58,04;43,00;;
66090000;1;01/07/2009;01/01/1900 16:40:00;37;30/06/2009;01/01/1900 11:12:00;37;361;490;816;316,93;0,601;25,32;361;26,60;10,86;52,45;;
66090000;1;24/09/2009;01/01/1900 16:44:00;38;24/09/2009;01/01/1900 13:54:00;38;300;419,445;592,53;307,74;0,708;34,68;300;25,40;;38,37;;
66090000;1;19/04/2010;01/01/1900 13:00:00;39;19/04/2010;01/01/1900 10:34:00;39;519;1365,103;1198,58;322,55;1,139;6,647;519;28,40;22,76;49,21;;
66090000;1;30/09/2010;01/01/1900 09:50:00;40;30/09/2010;01/01/1900 06:50:00;40;277;262,409;518,81;331,04;0,506;32,47;277;30,30;71,55;46,63;;
66090000;1;12/04/2011;01/01/1900 15:08:00;41;12/04/2011;01/01/1900 11:30:00;41;525;1247,004;1303,86;352,54;0,956;14,43;525;28,80;18,66;53,07;;
66090000;1;04/08/2011;01/01/1900 13:45:00;42;04/08/2011;01/01/1900 11:46:00;42;322;380,628;663,33;323,05;0,574;25,25;322;21,70;29,63;76,66;;
