Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:66090000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
66090000;1;01/01/2008;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/02/2008;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/03/2008;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/04/2008;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/09/2010;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;271,246;271,246;271,246;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;
66090000;1;01/10/2010;;1;1;403,645;271,246;319,29;31;1;3;3;3;;0;271,246;275,003;287,442;289,387;291,341;301,234;310,319;321,658;331,13;334,326;324,796;318,54;308,285;294,287;284,54;278,793;280,7;278,793;280,7;283,577;293,302;308,285;329,01;345,122;361,729;371,934;377,682;376,528;386,996;397,648;403,645;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66090000;1;01/11/2010;;1;1;534,53;341,86;452,338;27;6;1;1;1;;0;409,701;406,06;398,843;382,321;353,917;341,86;345,122;379,997;414,586;437,031;451,122;462,863;470,798;477,477;480,165;472,129;465,499;445,965;421,984;434,5;460,237;489,65;514,586;524,497;531,651;531,651;534,53;525,923;508,976;496,497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
66090000;1;01/12/2010;;1;1;506,186;377,682;446,494;7;24;1;1;1;;0;493,751;493,751;495,123;499,253;500,635;504,794;506,186;506,186;500,635;495,123;485,57;482,863;469,47;458,928;452,417;445,965;438,3;434,5;428,213;426,962;417,043;394,077;379,997;377,682;377,682;378,838;381,158;389,347;397,648;408,485;420,745;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/01/2011;;1;1;976,241;425,714;723,519;31;1;1;1;1;;0;425,714;442,122;478,819;503,405;533,089;562,377;581,953;591,133;612,911;630,376;646,526;662,938;677,934;681,296;698,263;717,237;733,003;736,536;740,08;785,435;819,549;845,809;872,656;887,828;903,185;909,379;921,858;931,296;947,177;972,981;976,241;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/02/2011;;1;1;1171,369;982,784;1075,985;28;1;1;1;1;;0;982,784;995,962;1002,598;1012,61;1019,323;1019,323;1022,692;1026,068;1032,844;1036,244;1043,067;1046,491;1053,361;1063,727;1070,677;1074,164;1088,192;1109,476;1113,051;1116,635;1123,827;1131,051;1141,948;1149,254;1152,919;1160,274;1167,662;1171,369;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
